"","Round","Hedge","Replicate","No.pc","Starting","id","Habitats","Harvesting","No.seeds","No.flowers","Weight","weightseeds","WPT","NOTE","X","spf","pf","spf2","pf2","spf3","pf3"
"1",1,"H","1",1,70,1,"urban",53,14,6,0.337,14,2.407,"",NA,0.264150943396226,0.113207547169811,0.184210526315789,0.0789473684210526,0.2,0.0857142857142857
"2",1,"H","1",2,48,2,"urban",77,25,12,0.314,18,1.744,"",NA,0.324675324675325,0.155844155844156,0.416666666666667,0.2,0.520833333333333,0.25
"3",1,"H","2",2,29,6,"urban",22,15,4,0.389,15,2.593,"",NA,0.681818181818182,0.181818181818182,0.454545454545455,0.121212121212121,0.517241379310345,0.137931034482759
"4",1,"H","3",2,53,10,"urban",57,35,12,0.366,35,1.046,"",NA,0.614035087719298,0.210526315789474,0.538461538461538,0.184615384615385,0.660377358490566,0.226415094339623
"5",1,"H","5",1,51,17,"rural",40,35,15,0.421,32,1.316,"",NA,0.875,0.375,0.53030303030303,0.227272727272727,0.686274509803922,0.294117647058824
"6",1,"H","5",2,61,18,"rural",35,49,20,0.342,22,1.555,"",NA,1.4,0.571428571428571,0.604938271604938,0.246913580246914,0.80327868852459,0.327868852459016
"7",1,"H","6",1,55,21,"rural",34,23,8,0.075,19,0.395,"",NA,0.676470588235294,0.235294117647059,0.365079365079365,0.126984126984127,0.418181818181818,0.145454545454545
"8",1,"C","1",1,56,3,"urban",56,28,13,0.647,28,2.311,"",NA,0.5,0.232142857142857,0.405797101449275,0.188405797101449,0.5,0.232142857142857
"9",1,"C","1",2,44,4,"urban",21,7,4,0.249,7,3.557,"",NA,0.333333333333333,0.19047619047619,0.145833333333333,0.0833333333333333,0.159090909090909,0.0909090909090909
"10",1,"C","2",1,34,7,"urban",15,2,2,0.037,2,1.85,"",NA,0.133333333333333,0.133333333333333,0.0555555555555556,0.0555555555555556,0.0588235294117647,0.0588235294117647
"11",1,"C","2",2,41,8,"urban",46,12,7,0.316,10,3.16,"",NA,0.260869565217391,0.152173913043478,0.25,0.145833333333333,0.292682926829268,0.170731707317073
"12",1,"C","3",1,47,11,"urban",46,34,13,0.641,31,2.068,"",NA,0.739130434782609,0.282608695652174,0.566666666666667,0.216666666666667,0.723404255319149,0.276595744680851
