"","Round","Hedge","Replicate","No.plant","id","Habitats","Starting","Harvesting","Weight","w.perhun"
"1","1","H",2,1,5,"urban",21,13,0.78,NA
"2","1","H",2,2,6,"urban",21,17,1.448,NA
"3","1","H",3,1,9,"urban",18,12,0.105,0.015
"4","1","H",3,2,10,"urban",10,9,0.221,0.028
"5","1","H",4,1,13,"rural",22,21,1.349,NA
"6","1","H",4,2,14,"rural",31,20,1.315,NA
"7","1","H",5,1,17,"rural",22,22,0.843,0.025
"8","1","H",5,2,18,"rural",38,21,0.364,0.021
"9","1","H",6,1,21,"rural",17,17,0.826,NA
"10","1","H",6,2,22,"rural",30,22,1.795,NA
"11","1","C",1,1,3,"urban",12,11,0.363,NA
"12","1","C",1,2,4,"urban",15,6,0.189,NA
"13","1","C",2,1,7,"urban",13,21,0.444,0.012
"14","1","C",2,2,8,"urban",16,24,0.683,0.019
"15","1","C",3,1,11,"urban",15,15,0.312,0.029
"16","1","C",3,2,12,"urban",13,13,0.299,0.026
"17","1","C",4,1,15,"rural",47,10,0.31,0.029
"18","1","C",5,1,19,"rural",34,20,1.238,NA
"19","1","C",5,2,20,"rural",24,28,1.73,NA
"20","1","C",6,1,23,"rural",27,20,1.234,NA
"21","1","C",6,2,24,"rural",17,11,0.716,NA
"22","2","H",1,1,1,"urban",31,10,1.691,NA
"23","2","H",2,1,5,"urban",20,34,1.209,0.025
"24","2","H",2,2,6,"urban",13,24,2.418,NA
"25","2","H",3,1,9,"urban",23,15,0.465,NA
"26","2","H",3,2,10,"urban",18,20,1.414,NA
"27","2","H",4,1,13,"rural",NA,14,0.333,NA
"28","2","H",4,2,14,"rural",NA,12,0.235,NA
"29","2","C",1,1,3,"urban",16,17,1.548,NA
"30","2","C",1,2,4,"urban",16,21,0.519,0.02
"31","2","C",2,1,7,"urban",19,23,2.318,NA
"32","2","C",2,2,8,"urban",39,15,0.238,0.015
"33","2","C",3,1,11,"urban",16,18,0.904,NA
"34","2","C",3,2,12,"urban",24,24,1.76,NA
"35","2","C",4,2,16,"rural",NA,15,0.494,NA
