"","Round","Hedge","Replicate","No.pc","id","Habitats","Starting","Harvesting","No.seeds","No.pods","No.perpod","Weight","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X","X.1","X.2"
"1","1","H","1",1,1,"urban",3,37,127,15,8,0.054,9,6,21,15,8,5,5,7,4,10,1,16,3,6,11,NA,NA,NA,NA,NA,NA,NA,NA
"2","1","H","1",2,2,"urban",9,26,324,9,36,0.029,26,18,54,65,17,47,32,53,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1","H","2",1,5,"urban",10,51,160,5,32,0.018,82,17,17,33,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","1","H","2",2,6,"urban",7,35,10,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","1","H","3",1,9,"urban",8,90,145,7,21,0.029,40,14,21,2,54,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","1","H","3",2,10,"urban",6,50,250,9,28,0.036,12,20,4,6,111,11,5,12,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1","H","4",1,13,"rural",2,43,153,8,19,NA,15,33,28,11,15,10,19,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","1","H","4",2,14,"rural",3,18,1,1,1,0.001,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","1","H","5",1,17,"rural",3,6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","1","H","5",2,18,"rural",6,26,11,1,11,0.003,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","1","H","6",1,21,"rural",7,48,30,3,10,0.005,5,12,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1","H","6",2,22,"rural",2,56,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1","C","1",1,3,"urban",5,49,17,2,9,0.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1","C","1",2,4,"urban",11,59,152,13,12,0.023,29,53,9,10,17,5,1,9,2,5,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
