Round,Hedge,uid,Habitats,Starting,Harvesting,Weight
1,H,3,urban,21,13,0.78
1,H,4,urban,21,17,1.448
1,H,5,urban,18,12,0.105
1,H,6,urban,10,9,0.221
1,H,7,rural,22,21,1.349
1,H,8,rural,31,20,1.315
1,H,9,rural,22,22,0.843
1,H,10,rural,38,21,0.364
1,H,11,rural,17,17,0.826
1,H,12,rural,30,22,1.795
1,C,13,urban,12,11,0.363
1,C,14,urban,15,6,0.189
1,C,15,urban,13,21,0.444
1,C,16,urban,16,24,0.683
1,C,17,urban,15,15,0.312
1,C,18,urban,13,13,0.299
1,C,19,rural,47,10,0.31
1,C,21,rural,34,20,1.238
1,C,22,rural,24,28,1.73
1,C,23,rural,27,20,1.234
1,C,24,rural,17,11,0.716
2,H,25,urban,31,10,1.691
2,H,27,urban,20,34,1.209
2,H,28,urban,13,24,2.418
2,H,29,urban,23,15,0.465
2,H,30,urban,18,20,1.414
2,H,31,rural,,14,0.333
2,H,32,rural,,12,0.235
2,C,37,urban,16,17,1.548
2,C,38,urban,16,21,0.519
2,C,39,urban,19,23,2.318
2,C,40,urban,39,15,0.238
2,C,41,urban,16,18,0.904
2,C,42,urban,24,24,1.76
2,C,44,rural,,15,0.494
