Round,Hedge,Starting,uid,Habitats,Harvesting,No.seeds,No.capsules
1,H,70,1,urban,53,14,6
1,H,48,2,urban,77,25,12
1,H,29,4,urban,22,15,4
1,H,53,6,urban,57,35,12
1,H,51,9,rural,40,35,15
1,H,61,10,rural,35,49,20
1,H,55,11,rural,34,23,8
1,C,56,13,urban,56,28,13
1,C,44,14,urban,21,7,4
1,C,34,15,urban,15,2,2
1,C,41,16,urban,46,12,7
1,C,47,17,urban,46,34,13
1,C,28,19,rural,4,3,2
1,C,51,20,rural,29,19,14
1,C,41,21,rural,25,13,5
2,H,40,25,urban,24,36,17
2,H,45,26,urban,15,30,12
2,H,52,27,urban,49,44,19
2,H,43,28,urban,27,75,25
2,H,55,30,urban,33,16,13
2,H,35,31,rural,38,8,4
2,H,45,33,rural,26,6,5
2,H,38,34,rural,23,10,6
2,C,75,37,urban,48,39,19
2,C,58,38,urban,36,12,6
2,C,42,39,urban,43,26,9
2,C,53,40,urban,45,13,6
2,C,40,41,urban,35,24,12
2,C,46,42,urban,17,3,1
2,C,32,43,rural,30,24,15
2,C,25,45,rural,12,2,1
2,C,49,46,rural,19,4,3
2,C,40,47,rural,40,15,8
UM,UM,,49,,75,1,1
UM,UM,,50,,54,0,0
UM,UM,,51,,58,2,1
UM,UM,,52,,46,0,0
UM,UM,,53,,64,3,2
UM,UM,,54,,34,7,2
UM,UM,,55,,101,4,3
