Round,Hedge,uid,Habitats,Starting,No.seeds,No.pods
1,H,1,urban,18,136,10
1,H,2,urban,14,12,1
1,H,4,urban,6,10,4
1,H,6,urban,16,14,7
1,H,7,rural,9,0,0
1,H,8,rural,6,1,1
1,H,9,rural,9,19,3
1,H,10,rural,11,91,7
1,C,13,urban,14,2,2
1,C,14,urban,14,5,3
1,C,15,urban,7,0,2
1,C,16,urban,8,6,7
1,C,17,urban,17,20,7
1,C,18,urban,7,0,0
1,C,19,rural,9,32,3
1,C,20,rural,3,3,1
1,C,21,rural,4,19,3
1,C,22,rural,3,91,7
UM,UM,25,,,6,1
UM,UM,26,,,133,8
UM,UM,27,,,10,3
UM,UM,28,,,40,6
UM,UM,29,,,1,5
