Round,Hedge,uid,Habitats,Starting,No.capsules,No.seeds,Weight,WPT
1,H,1,urban,92,184,702,2.007,2.859
1,H,2,urban,158,185,702,1.759,2.506
1,H,3,urban,107,189,719,1.976,2.748
1,H,4,urban,162,258,976,2.426,2.486
1,H,6,urban,126,170,585,1.467,2.508
1,H,7,rural,96,35,108,0.286,2.648
1,H,8,rural,164,89,238,0.609,2.559
1,H,9,rural,128,123,464,1.212,2.612
1,H,10,rural,102,178,649,1.784,2.749
1,H,11,rural,84,84,268,0.693,2.586
1,H,12,rural,138,122,452,1.033,2.285
1,C,13,urban,144,147,624,1.442,2.311
1,C,14,urban,102,207,786,1.59,2.023
1,C,15,urban,166,206,758,1.922,2.536
1,C,16,urban,102,206,771,1.873,2.429
1,C,17,urban,180,252,1073,2.647,2.467
1,C,18,urban,108,152,657,1.554,2.365
1,C,19,rural,144,96,368,0.911,2.476
1,C,20,rural,102,68,238,0.434,1.824
1,C,21,rural,96,134,499,1.211,2.427
1,C,22,rural,186,252,957,2.312,2.416
1,C,23,rural,162,68,228,0.592,2.596
1,C,24,rural,198,195,964,2.136,2.216
UM,UM,49,,,178,804,1.486,1.848
UM,UM,50,,,154,689,1.369,1.987
UM,UM,51,,,141,538,1.339,2.489
UM,UM,52,,,110,621,1.16,1.868
UM,UM,53,,,159,815,1.773,2.175
UM,UM,54,,,247,880,1.554,1.766
