Round,Hedge,uid,Habitats,Starting,No.seeds,No.pods
1,H,1,urban,3,127,15
1,H,2,urban,9,324,9
1,H,3,urban,10,160,5
1,H,4,urban,7,10,9
1,H,5,urban,8,145,7
1,H,6,urban,6,250,9
1,H,7,rural,2,153,8
1,H,8,rural,3,1,1
1,H,9,rural,3,0,0
1,H,10,rural,6,11,1
1,H,11,rural,7,30,3
1,H,12,rural,2,0,0
1,C,13,urban,5,17,2
1,C,14,urban,11,152,13
1,C,15,urban,6,6,2
1,C,17,urban,7,212,23
1,C,18,urban,5,45,3
1,C,19,rural,5,6,2
1,C,21,rural,5,0,0
1,C,22,rural,3,0,0
1,C,23,rural,8,70,5
1,C,24,rural,2,8,5
2,H,25,urban,8,81,7
2,H,26,urban,4,12,2
2,H,27,urban,6,111,4
2,H,28,urban,20,42,3
2,H,29,urban,5,228,17
2,H,30,urban,10,91,8
2,C,37,urban,15,0,0
2,C,38,urban,11,173,13
2,C,39,urban,1,0,0
2,C,40,urban,9,2,1
2,C,41,urban,3,21,3
2,C,42,urban,8,60,3
UM,UM,49,,,7,2
UM,UM,50,,,0,0
UM,UM,51,,,0,0
UM,UM,52,,,2,1
UM,UM,53,,,25,3
UM,UM,54,,,63,4
UM,UM,55,,,29,1
UM,UM,56,,,0,0
UM,UM,57,,,0,0
UM,UM,58,,,11,3
