"","id","quality","severity","patch","extinc_time"
"7",7,"poor","slowdrying","fastincrease",12.5
"8",8,"poor","slowdrying","fastincrease",12.5
"9",9,"poor","slowdrying","fastincrease",11.5
"10",10,"poor","slowdrying","fastincrease",11.5
"11",11,"poor","slowdrying","fastincrease",13.5
"12",12,"poor","slowdrying","fastincrease",13.5
"13",13,"poor","slowdrying","slowincrease",12.5
"14",14,"poor","slowdrying","slowincrease",13.5
"15",15,"poor","slowdrying","slowincrease",12.5
"16",16,"poor","slowdrying","slowincrease",11.5
"17",17,"poor","slowdrying","slowincrease",11.5
"18",18,"poor","slowdrying","slowincrease",13.5
"19",19,"poor","fastdrying","fastincrease",10.5
"20",20,"poor","fastdrying","fastincrease",12.5
"21",21,"poor","fastdrying","fastincrease",10.5
"22",22,"poor","fastdrying","fastincrease",10.5
"23",23,"poor","fastdrying","fastincrease",11.5
"24",24,"poor","fastdrying","fastincrease",10.5
"25",25,"poor","fastdrying","slowincrease",10.5
"26",26,"poor","fastdrying","slowincrease",11.5
"27",27,"poor","fastdrying","slowincrease",11.5
"28",28,"poor","fastdrying","slowincrease",10.5
"29",29,"poor","fastdrying","slowincrease",10.5
"30",30,"poor","fastdrying","slowincrease",9.5
"37",37,"good","slowdrying","fastincrease",11.5
"38",38,"good","slowdrying","fastincrease",11.5
"39",39,"good","slowdrying","fastincrease",16.5
"41",41,"good","slowdrying","fastincrease",12.5
"42",42,"good","slowdrying","fastincrease",12.5
"43",43,"good","slowdrying","slowincrease",14.5
"44",44,"good","slowdrying","slowincrease",16.5
"45",45,"good","slowdrying","slowincrease",15.5
"46",46,"good","slowdrying","slowincrease",13.5
"47",47,"good","slowdrying","slowincrease",13.5
"48",48,"good","slowdrying","slowincrease",14.5
"49",49,"good","fastdrying","fastincrease",12.5
"50",50,"good","fastdrying","fastincrease",12.5
"51",51,"good","fastdrying","fastincrease",9.5
"52",52,"good","fastdrying","fastincrease",12.5
"53",53,"good","fastdrying","fastincrease",12.5
"54",54,"good","fastdrying","fastincrease",12.5
"55",55,"good","fastdrying","slowincrease",12.5
"56",56,"good","fastdrying","slowincrease",13.5
"57",57,"good","fastdrying","slowincrease",11.5
"58",58,"good","fastdrying","slowincrease",11.5
"59",59,"good","fastdrying","slowincrease",12.5
"60",60,"good","fastdrying","slowincrease",10.5
