"","id","quality","severity","patch","week","varability"
"187",7,"poor","slowdrying","fastincrease",4,103
"188",8,"poor","slowdrying","fastincrease",4,157
"189",9,"poor","slowdrying","fastincrease",4,117
"190",10,"poor","slowdrying","fastincrease",4,156
"191",11,"poor","slowdrying","fastincrease",4,54
"192",12,"poor","slowdrying","fastincrease",4,72
"193",13,"poor","slowdrying","slowincrease",4,26
"194",14,"poor","slowdrying","slowincrease",4,40
"195",15,"poor","slowdrying","slowincrease",4,68
"196",16,"poor","slowdrying","slowincrease",4,87
"197",17,"poor","slowdrying","slowincrease",4,28
"198",18,"poor","slowdrying","slowincrease",4,57
"199",19,"poor","fastdrying","fastincrease",4,57
"200",20,"poor","fastdrying","fastincrease",4,30
"201",21,"poor","fastdrying","fastincrease",4,71
"202",22,"poor","fastdrying","fastincrease",4,41
"203",23,"poor","fastdrying","fastincrease",4,28
"204",24,"poor","fastdrying","fastincrease",4,30
"205",25,"poor","fastdrying","slowincrease",4,13
"206",26,"poor","fastdrying","slowincrease",4,39
"207",27,"poor","fastdrying","slowincrease",4,67
"208",28,"poor","fastdrying","slowincrease",4,80
"209",29,"poor","fastdrying","slowincrease",4,56
"210",30,"poor","fastdrying","slowincrease",4,123
"217",37,"good","slowdrying","fastincrease",4,63
"218",38,"good","slowdrying","fastincrease",4,20
"219",39,"good","slowdrying","fastincrease",4,48
"220",40,"good","slowdrying","fastincrease",4,14
"221",41,"good","slowdrying","fastincrease",4,40
"222",42,"good","slowdrying","fastincrease",4,20
"223",43,"good","slowdrying","slowincrease",4,143
"224",44,"good","slowdrying","slowincrease",4,68
"225",45,"good","slowdrying","slowincrease",4,105
"226",46,"good","slowdrying","slowincrease",4,71
"227",47,"good","slowdrying","slowincrease",4,22
"228",48,"good","slowdrying","slowincrease",4,65
"229",49,"good","fastdrying","fastincrease",4,35
"230",50,"good","fastdrying","fastincrease",4,57
"231",51,"good","fastdrying","fastincrease",4,34
"232",52,"good","fastdrying","fastincrease",4,64
"233",53,"good","fastdrying","fastincrease",4,101
"234",54,"good","fastdrying","fastincrease",4,142
"235",55,"good","fastdrying","slowincrease",4,40
"236",56,"good","fastdrying","slowincrease",4,18
"237",57,"good","fastdrying","slowincrease",4,85
"238",58,"good","fastdrying","slowincrease",4,78
"239",59,"good","fastdrying","slowincrease",4,59
"240",60,"good","fastdrying","slowincrease",4,75
"247",7,"poor","slowdrying","fastincrease",5,115
"248",8,"poor","slowdrying","fastincrease",5,131
"249",9,"poor","slowdrying","fastincrease",5,109
"250",10,"poor","slowdrying","fastincrease",5,187
"251",11,"poor","slowdrying","fastincrease",5,80
"252",12,"poor","slowdrying","fastincrease",5,84
"253",13,"poor","slowdrying","slowincrease",5,33
"254",14,"poor","slowdrying","slowincrease",5,61
"255",15,"poor","slowdrying","slowincrease",5,74
"256",16,"poor","slowdrying","slowincrease",5,80
"257",17,"poor","slowdrying","slowincrease",5,46
"258",18,"poor","slowdrying","slowincrease",5,71
"259",19,"poor","fastdrying","fastincrease",5,73
"260",20,"poor","fastdrying","fastincrease",5,60
"261",21,"poor","fastdrying","fastincrease",5,80
"262",22,"poor","fastdrying","fastincrease",5,66
"263",23,"poor","fastdrying","fastincrease",5,29
"264",24,"poor","fastdrying","fastincrease",5,29
"265",25,"poor","fastdrying","slowincrease",5,39
