patch,id,No.UF,No.F,No.S,area,proximity,logarea,wild
1,1,18,23,240,675.7220136,149.5582671,6.515781769,0
1,2,6,15,150,675.7220136,149.5582671,6.515781769,0
1,3,21,7,48,675.7220136,149.5582671,6.515781769,0
2,1,16,23,108,107.9700488,196.3404176,4.681853863,0
2,2,20,18,165,107.9700488,196.3404176,4.681853863,0
2,3,14,10,42,107.9700488,196.3404176,4.681853863,0
3,1,14,31,492,341.5197841,434.9866511,5.83340561,0
3,2,1,29,194,341.5197841,434.9866511,5.83340561,0
3,3,3,11,148,341.5197841,434.9866511,5.83340561,0
4,1,11,20,173,1123.918718,329.0906163,7.024576713,1
4,2,13,13,102,1123.918718,329.0906163,7.024576713,1
4,3,3,8,66,1123.918718,329.0906163,7.024576713,1
5,1,15,10,66,270.776455,515.8121139,5.601293591,1
5,2,9,7,93,270.776455,515.8121139,5.601293591,1
6,1,4,15,177,150.2281971,247.2273383,5.012155452,0
6,2,2,6,15,150.2281971,247.2273383,5.012155452,0
6,3,6,16,174,150.2281971,247.2273383,5.012155452,0
7,1,4,14,111,165.9702168,233.9430793,5.111808356,0
7,2,15,5,78,165.9702168,233.9430793,5.111808356,0
7,3,3,4,17,165.9702168,233.9430793,5.111808356,0
8,1,4,20,177,515.7272449,187.9015209,6.245578031,0
8,2,14,20,148,515.7272449,187.9015209,6.245578031,0
8,3,14,5,59,515.7272449,187.9015209,6.245578031,0
9,1,16,12,188,650.3743952,261.3678116,6.47754819,0
9,2,3,14,126,650.3743952,261.3678116,6.47754819,0
9,3,10,13,119,650.3743952,261.3678116,6.47754819,0
10,1,15,0,0,286.0470841,438.2700149,5.656156427,0
10,2,13,0,0,286.0470841,438.2700149,5.656156427,0
10,3,18,18,252,286.0470841,438.2700149,5.656156427,0
11,1,8,20,148,521.3070059,490.1531534,6.256339131,0
11,2,20,43,521,521.3070059,490.1531534,6.256339131,0
11,3,22,16,168,521.3070059,490.1531534,6.256339131,0
12,1,14,44,498,183.2713638,835.4000173,5.210967917,0
12,2,7,32,286,183.2713638,835.4000173,5.210967917,0
12,3,11,12,146,183.2713638,835.4000173,5.210967917,0
13,1,4,1,11,137.7069337,576.7129655,4.925127758,0
13,2,20,7,13,137.7069337,576.7129655,4.925127758,0
13,3,21,5,36,137.7069337,576.7129655,4.925127758,0
14,1,13,20,255,334.67157,276.1516157,5.813149663,1
14,2,16,9,40,334.67157,276.1516157,5.813149663,1
14,3,15,24,178,334.67157,276.1516157,5.813149663,1
15,1,6,10,92,84.50043358,240.0047471,4.436756666,0
15,2,21,11,48,84.50043358,240.0047471,4.436756666,0
15,3,7,12,30,84.50043358,240.0047471,4.436756666,0
16,1,8,17,134,17.44767258,184.2872206,2.859206263,0
16,2,11,30,182,17.44767258,184.2872206,2.859206263,0
16,3,6,29,255,17.44767258,184.2872206,2.859206263,0
17,1,3,23,134,212.6847797,194.6356246,5.359811162,0
17,2,5,14,115,212.6847797,194.6356246,5.359811162,0
17,3,6,20,235,212.6847797,194.6356246,5.359811162,0
19,1,10,11,110,94.73883386,276.4614164,4.551123989,0
20,1,26,30,283,243.7504429,446.8527697,5.496144927,0
20,2,29,25,227,243.7504429,446.8527697,5.496144927,0
20,3,7,2,28,243.7504429,446.8527697,5.496144927,0
21,1,11,30,251,461.988116,649.5785211,6.135539168,0
21,2,15,115,101,461.988116,649.5785211,6.135539168,0
21,3,16,11,89,461.988116,649.5785211,6.135539168,0
22,1,12,15,67,408.2678745,740.0832761,6.011923514,0
22,2,24,7,27,408.2678745,740.0832761,6.011923514,0
22,3,10,4,29,408.2678745,740.0832761,6.011923514,0
23,1,6,24,203,232.2163863,287.7233429,5.447669636,0
23,2,14,41,201,232.2163863,287.7233429,5.447669636,0
23,3,10,22,297,232.2163863,287.7233429,5.447669636,0
