id,area,logarea,n,native,inva,woody,herbaceous,flowers
1,675.722,6.515781749,19,15,3,8,11,7
2,107.97,4.681853411,14,11,2,7,7,6
3,341.52,5.833406242,15,11,2,6,9,3
4,1123.919,7.024576964,21,18,2,10,11,6
5,270.776,5.601291911,18,13,2,5,13,9
6,150.228,5.01215414,11,11,NA,5,6,5
7,165.97,5.111807049,10,7,2,5,5,6
8,515.727,6.245577556,15,13,NA,13,2,4
16,17.448,2.859225029,7,5,2,3,4,5
9,650.374,6.477547582,18,14,2,12,6,7
10,286.047,5.656156133,8,6,1,7,1,3
13,137.707,4.92512824,8,4,2,7,1,3
11,521.307,6.25633912,12,7,3,4,8,3
12,183.271,5.210965932,14,9,3,5,9,2
14,334.672,5.813150948,23,17,4,9,14,7
15,84.5,4.436751534,10,7,2,5,5,5
17,212.685,5.359812198,12,10,2,6,6,5
18,174.582,5.162394545,13,11,1,6,7,6
19,94.739,4.551125742,8,7,1,5,3,5
20,243.75,5.49614311,12,11,1,4,8,5
21,461.988,6.135538917,15,10,4,4,11,5
22,408.268,6.011923822,13,10,2,5,8,4
23,232.216,5.447667973,13,9,3,5,8,6
24,257.186,5.549799559,12,8,3,7,5,5
25,194.588,5.270884503,14,9,4,8,6,5
26,99.017,4.595291553,3,2,1,1,2,2
27,213.111,5.361813157,14,13,1,7,7,7
28,212.292,5.357962685,11,10,1,5,6,5
29,1686.884,7.430638319,20,16,3,9,11,9
30,946.807,6.853095271,20,16,3,10,10,6
31,323.262,5.77846314,22,14,5,11,11,7
32,549.174,6.308415331,13,8,4,4,9,6
33,1811.449,7.501882356,25,18,4,12,13,9
34,2261.374,7.723727872,27,21,4,12,15,10
35,451.811,6.113263951,16,10,5,8,8,5
36,734.024,6.598541726,14,11,2,7,7,6
37,261.385,5.565994416,12,9,3,7,5,4
38,4025.022,8.300285656,35,22,10,17,18,14
39,97.181,4.576575219,10,6,3,4,6,6
40,218.444,5.386529689,13,10,3,5,8,5
41,150.767,5.015735599,11,9,2,3,8,6
42,566.533,6.339535331,12,10,1,6,6,3
43,432.648,6.069924464,14,11,1,8,6,4
44,275.065,5.617007433,17,15,1,7,10,6
45,406.546,6.007697084,19,15,1,13,6,8
46,411.262,6.019230481,16,13,1,7,9,5
47,2544.719,7.84177551,41,32,8,20,21,15
48,1456.755,7.283966638,23,18,3,11,12,9
49,976.963,6.88444878,26,20,5,14,12,7
50,539.026,6.289763807,15,12,1,11,3,1
51,355.002,5.872123423,15,12,2,8,7,4
