Round,Hedge,Replicate,No.pc,id,Habitats,Starting,Harvesting,No.pods,weight.per.tho,Weight,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,wpp
1,H,1,1,1,urban,55,79,79,NA,0.149,7.97,8.04,7.85,8.33,8.13,8.95,9.16,8.9,8.77,8.8,9.15,8.75,8.93,9.18,8.46,8.58,9.31,8.29,8.58,9.22,8.56,9.35,8.76,8.68,8.16,7.82,9.13,7.71,8.67,8,0.00111194
1,H,1,2,2,urban,41,71,71,0.007,0.131,8.15,7.97,8.66,8.07,9.01,7.01,7.64,8.95,9.04,9.41,9.29,7.68,7.04,7.57,7.51,8.54,8.13,9.43,9.48,8.23,8.81,6.4,6.83,6.74,7.49,8.16,7.69,7.54,8.42,8.89,0.001169643
1,H,2,1,5,urban,32,52,52,NA,0.095,8.96,7.36,8.11,7.62,8.29,8.21,7.86,8.82,8.56,8.97,7.56,8.13,7.88,6.5,8.05,8.11,8.54,8.81,8.36,8.54,6.65,8.28,7.33,8.21,7.79,8.25,8.68,8.69,6.58,8.61,0.001130952
1,H,2,2,6,urban,30,76,76,NA,0.158,8.59,9.02,8.79,9.07,8.55,7.47,8.57,8.63,8.11,7.17,7.75,8.36,7.68,9.28,8.83,8.43,7.88,9.12,8.92,8.61,9.03,8.88,8.25,7.84,8.35,8.55,7.24,8.81,8.25,8.17,0.001490566
1,H,3,1,9,urban,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,H,3,2,10,urban,46,105,105,NA,0.174,8.78,8.34,8.13,7.76,9.01,8.86,8.05,7.57,8.04,8.47,7.89,8.19,7.26,7.96,8.57,8.5,9.16,8.26,8.12,7.62,8.35,7.42,8.65,9.34,8.68,9.02,8.9,8.47,8.62,7.29,0.001152318
1,H,4,1,13,rural,32,29,29,NA,0.064,7.87,7.4,8.13,7.86,8.47,7.16,8.28,8.35,8.64,8.48,8.29,8.8,8.78,9.04,7.2,8.68,7.66,7.42,8.24,7.92,8.48,8.37,8.35,6.51,6.03,6.54,7.61,6.24,6.38,NA,0.00104918
1,H,4,2,14,rural,45,47,47,NA,0.046,7.67,7.82,7.93,6.67,8.9,9.07,8.09,7.66,7.25,7.97,7.9,9.08,5.99,7.96,8.14,9.07,8.97,7.12,7.95,7.41,8.51,9.03,7.76,6.7,7.45,7.31,8.3,7.01,8.66,7.37,5.00E-04
1,H,5,1,17,rural,64,78,78,NA,0.115,8.56,8.41,7.61,8.02,9.31,9.16,8.4,7.85,7.97,7.96,7.7,7.22,7.61,8.57,8.78,6.1,8.18,7.35,8.47,8.17,7.87,6.25,7.14,5.98,7.15,8.52,8.5,8.09,7.38,8.6,0.000809859
1,H,5,2,18,rural,25,28,28,NA,0.039,6.86,6.72,7.58,7.43,7.68,8.1,7.46,7.04,7.89,7.87,7.04,7.17,8.76,7.62,7.24,8.61,6.96,7.4,7.95,7.75,8.18,7.77,6.85,5.45,5.9,8.04,5.38,7.41,NA,NA,0.000735849
1,H,6,1,21,rural,36,73,73,NA,0.122,9.11,7.88,9.09,9.26,9.03,9.39,7.67,8.36,7.39,8.89,8.16,7.8,8.41,7.34,6.08,6.71,7.44,7.06,6.64,7.06,8.78,7.44,8.53,8.86,8.09,6.92,9.13,8.33,9.15,9.01,0.001119266
1,H,6,2,22,rural,36,27,27,NA,0.035,7.92,8.34,7.38,7.51,7.96,8.69,8.86,8.99,8.53,7.45,7.93,7.97,8.96,8.74,8.25,8.67,7.64,7.06,5.73,6.91,8.32,6.37,7.56,7.63,7.23,8.8,8.84,NA,NA,NA,0.000555556
1,C,1,1,3,urban,44,23,23,NA,0.034,8.78,8.62,8.61,7.35,6.92,5.71,8.65,9,8.43,8.2,8.21,7.18,9.11,9.25,9.02,8.93,8.82,9.36,9.46,7.22,7.98,7.82,8.99,NA,NA,NA,NA,NA,NA,NA,0.000507463
1,C,1,2,4,urban,29,109,109,0.004,0.178,7.98,6.72,8.02,8.03,7.83,7.71,8.59,6.8,8.45,8.79,8.58,8.34,8.68,9.13,8.56,6.93,8.14,8.78,8.1,8.33,7.96,7.63,6.84,7.74,8.07,7.62,8.76,8.37,8.64,7.95,0.001289855
1,C,2,1,7,urban,39,95,95,NA,0.168,8.15,9.01,8.77,9.04,9.28,8.32,8.84,8.7,8.94,7.62,8.29,7.51,8.15,7.38,7.14,7.43,8.55,8.53,8.32,7.7,8.24,8.68,8.34,8.68,8.21,7.7,8.01,9.25,8.05,9.28,0.001253731
1,C,2,2,8,urban,59,126,126,NA,0.177,7.93,6.82,8.53,8.24,7.99,8.28,7.85,7.63,8.01,7.51,7.63,8.35,8.42,8.04,8.71,8.08,8.32,8.78,6.64,7.32,6.25,7.91,8.49,8.59,8.77,8.05,8.88,7.49,8.54,8.68,0.000956757
1,C,3,1,11,urban,41,69,69,NA,0.125,9.17,8.51,8.52,8.22,7.88,7.81,8.25,7.47,9.07,9.13,8.92,9.06,8.07,8.35,8.98,7.82,9.25,7.52,7.18,7.22,8.41,9.1,6.36,8.58,8.21,8.4,7.49,6.79,7.62,7.11,0.001136364
1,C,3,2,12,urban,25,91,91,0.008,0.187,8.55,7.38,8.76,8.18,7.16,7.69,7.4,8.28,8.02,9.11,8.85,8.41,9.05,8.38,8.59,7.53,8.56,8.17,8.43,7.79,8.06,8.67,8.66,8.99,8.29,7.65,7.67,6.83,6.83,8.19,0.001612069
1,C,4,1,15,rural,53,46,46,NA,0.044,7.67,8.26,8.06,8.33,7.75,8.49,7.86,7.68,7.25,7.24,7.62,8.28,7.93,8.44,7.1,6.39,7.7,6.75,5.56,7.84,7.58,8.78,7.73,9.06,7.45,6.95,6.31,7.25,7.87,8.11,0.000444444
1,C,4,2,16,rural,40,49,49,NA,0.049,8.63,8.35,8.82,7.66,7.83,8.25,8,7.72,8.92,6.86,7.19,8.03,8.44,8.74,8.91,7.4,8.44,8.46,9.16,8.52,7.37,7.2,6.24,8.26,5.34,6.24,7.29,6.09,8.5,7.49,0.000550562
1,C,5,1,19,rural,62,107,107,NA,0.154,8.83,8.56,7.12,7.25,8.93,8.39,8.38,7.52,8.66,8.78,7.78,7.36,7.43,9.22,8.27,8.59,8.11,8.47,9.19,8.78,8.43,8.35,8.09,6.67,7.67,8.31,8.1,8.95,9.35,7.91,0.000911243
1,C,5,2,20,rural,49,94,94,NA,0.088,7.84,6.74,7.84,6.98,7.88,8.31,8.01,8.92,8.14,7.6,7.14,6.41,6.57,7.06,7.77,7.4,6.76,8.5,9.07,8.15,7.57,6.65,8.04,6.6,8.38,6.59,7.78,7.48,8.21,6.96,0.000615385
1,C,6,1,23,rural,46,79,79,NA,0.12,8.1,8.07,7.56,9.08,8.73,7.95,7.56,7.46,7.1,8.36,8.32,9.32,8.06,8.54,7.2,7.38,7.36,7.74,8.54,8.11,9.24,8.48,8.97,8.56,7.82,7.24,7.45,7.67,7.21,7.97,0.00096
1,C,6,2,24,rural,53,51,51,NA,0.054,7.14,5.46,7.81,7.69,7.74,8.46,8.68,7.17,7.37,7.75,7.48,5.84,7.83,8.13,8.48,7.76,8.71,6.98,8.46,8.42,7.56,7.83,7.42,5.79,6.73,6.94,7.25,6.62,6.97,6.98,0.000519231
2,H,1,1,1,urban,81,81,81,NA,0.156,8.78,8.71,8.08,8.17,9.33,8.55,8.94,9.5,9.22,9.23,8.3,8.72,8.1,7.37,6.88,8.87,9.38,7.06,8.8,9.31,7.44,7.48,9.06,7.63,9.13,8.99,7.62,7.91,8.83,8.68,0.000962963
2,H,1,2,2,urban,74,68,68,NA,0.119,7.83,8.04,8.36,9.12,7.44,7.69,8.21,8.57,8.42,7.98,5.79,7.57,7.92,8,8.4,7.28,7.77,8.49,7.45,8.04,8.88,8.09,7.78,8.39,9.43,8.05,9.08,8.93,8.49,9.1,0.000838028
2,H,2,1,5,urban,53,63,63,NA,0.126,9.4,8.38,8.22,8.54,8.65,8.09,8.1,8.78,8.64,8.43,8.04,7.37,7.43,8.33,8.65,7.95,8.69,8.03,7.64,6.83,6.3,8.64,8.66,7.46,8.72,8.72,8.65,8.07,8.31,7.04,0.001086207
2,H,2,2,6,urban,68,55,55,NA,0.101,8.79,9.24,8.5,8.62,7.92,8.71,9.4,9.06,9.07,8.86,8.85,7.94,8.17,8.67,8.3,7.38,7.23,7.37,8.61,8.73,8.02,7.6,8.65,8.18,8.92,8.75,9.12,8.43,9.13,7.96,0.000821138
2,H,3,1,9,urban,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,H,3,2,10,urban,50,55,55,NA,0.134,8.68,8.16,8.58,8.9,8.46,8.55,8.88,8.68,9.17,9.53,9.25,8.01,8.85,9.15,8.36,8.37,9.18,8.52,8.33,9.22,9.52,8.29,8.64,8.41,7.4,8.12,8.08,8.39,8.34,9.04,0.00127619
2,H,4,1,13,rural,59,25,25,NA,0.02,8.22,8.77,7.33,8.4,8.8,8.41,8.69,7.15,8.19,8.76,7.73,8.14,8.42,7.69,8.45,5.95,9.24,7.98,8.79,8.17,8.06,6.05,8.73,8.87,6.52,NA,NA,NA,NA,NA,0.000238095
2,H,4,2,14,rural,51,44,44,NA,0.048,8.81,8.24,8.11,7.86,8.08,8.67,7.97,8.11,8.44,8,8.93,8.51,8.82,7.48,8.1,8.42,7.51,8.04,7.72,9.31,8.78,7.17,8.22,8.16,9.34,8.4,8.55,8.55,8.7,8.83,0.000505263
2,H,5,1,17,rural,52,50,50,NA,0.053,9.48,9.77,9.7,8.06,9.33,9.74,9.27,8.89,8.51,9.66,9.39,8.9,8.66,8.7,8.72,9.03,8.99,8.58,8.1,7.48,8.09,8.86,8.5,8.75,8.49,9.2,8.81,7.6,9.21,8.76,0.000519608
2,H,5,2,18,rural,79,70,70,NA,0.118,7.09,7.42,8.42,7.3,7.61,7.86,8.13,7.65,8.06,7.44,7.91,7.95,8.38,7.06,6.9,7.05,7.45,8.2,6.5,7.45,7.82,7.88,8.22,7.92,8.61,7.38,7.66,6.94,8.5,8.69,0.000791946
2,H,6,1,21,rural,39,30,30,NA,0.029,9.01,8.12,7.62,7.56,7.4,8.93,9.69,8.99,7.55,6.72,7.7,6.34,8.14,7.24,7.56,6.93,7.37,8.16,8.16,7.59,7.39,7.08,7.59,7.04,7,7.61,7.16,7.71,8.44,8.01,0.00042029
2,H,6,2,22,rural,45,43,43,NA,0.04,9.06,7.72,9.34,9.1,10.1,9.61,8.58,7.3,10.13,8.8,9.6,10.08,9.27,8.72,8.1,8.03,8.93,9.86,8.85,9.67,8.8,9.5,8.94,8.93,9.91,7.77,8.61,8.39,8.78,8.77,0.000454545
2,C,1,1,3,urban,59,52,52,NA,0.088,8.7,8.59,9.3,8.1,8.64,8.54,9.28,8.24,9.21,8.15,8.93,8.23,7.64,9.2,9.51,8.31,8.64,9.01,8.13,7.89,8.36,6.64,9.81,9.17,7.73,9,9.01,7.45,6.92,8,0.000792793
2,C,1,2,4,urban,74,72,72,NA,0.117,7.9,8.52,8.15,9.15,8.91,9,8.99,9.19,8.35,6.36,7.72,8.21,8.69,8.04,8.15,7.81,8.34,8.49,7.29,8.95,8.64,7.32,8.88,9.43,7.44,8.9,7.83,9.03,7.83,8.9,0.00080137
2,C,2,1,7,urban,41,77,77,NA,0.132,8.58,7.92,7.83,7.37,8.43,8.26,7.99,7.36,7.65,8.56,8.28,8.14,8.3,8.1,8.8,7.87,9.25,9.12,7.42,8.16,7.89,8.33,8.62,9.07,9.81,9.37,7.83,8.87,8.5,8.83,0.001118644
2,C,2,2,8,urban,58,43,43,NA,0.064,8.07,9.05,7.97,8.6,8.35,8.44,9.18,8.8,8.44,8.64,8.77,7.86,9.13,8.54,8.22,7.91,9.44,8.44,9.27,8.68,9.27,7.94,7.7,8.21,8.75,7.53,8.04,7.27,8.91,8.16,0.000633663
2,C,3,1,11,urban,51,60,60,NA,0.09,8.71,8.5,7.68,7.22,6.78,7.51,8.15,8.06,8.37,8.57,7.94,8.44,8.8,8.49,7.68,8.1,8.23,7.7,7.66,7.89,7.99,8.85,7.93,7.45,8.11,7.82,7.27,8.68,8.12,6.93,0.000810811
2,C,3,2,12,urban,57,69,69,NA,0.108,7.75,7.32,7.26,8.5,6.84,7.36,7.88,8.3,8.26,7.29,7.85,7.38,8.97,8.62,7.14,7.9,8.71,7.8,8.48,8.16,9.24,9.19,8.37,8.36,7.79,7.05,8.61,8.43,7.81,7.23,0.000857143
2,C,4,1,15,rural,45,46,46,NA,0.058,9.01,7.94,8.92,8.37,8.15,8.1,7.9,7.2,8.36,7.34,8.87,7.08,7.82,8.04,8.61,8.45,7.45,8.1,8.7,6.87,7.77,8.22,7.19,8.41,8.47,6.97,7.93,7.91,7.63,6.77,0.000637363
2,C,4,2,16,rural,65,50,50,NA,0.046,6.93,7.88,8.27,8.52,8.72,9.05,9.15,9.07,8.37,7.95,6.92,6.89,7.64,7.89,7.6,8.47,8.26,7.53,6.86,8.1,8.11,8.63,8.5,8.75,8.49,9.2,8.81,7.6,9.21,8.76,4.00E-04
