,Round,Hedge,Replicate,No.pc,id,Habitats,Starting,Harvesting,No.flowers,No.seeds,Weight,WPT,Note,spf,pf
1,1,H,1,1,1,urban,92,184,184,702,2.007,2.859,,5.086956522,0.333333333
2,1,H,1,2,2,urban,158,185,185,702,1.759,2.506,,4.093294461,0.2696793
3,1,H,2,1,5,urban,107,189,189,719,1.976,2.748,,4.858108108,0.319256757
4,1,H,2,2,6,urban,162,258,258,976,2.426,2.486,,4.647619048,0.307142857
5,1,H,3,1,9,urban,162,NA,NA,NA,NA,NA,Missing,NA,NA
6,1,H,3,2,10,urban,126,170,170,585,1.467,2.508,,3.952702703,0.287162162
7,1,H,4,1,13,rural,96,35,35,108,0.286,2.648,Damaged,1.648854962,0.133587786
8,1,H,4,2,14,rural,164,89,89,238,0.609,2.559,,1.881422925,0.175889328
9,1,H,5,1,17,rural,128,123,123,464,1.212,2.612,,3.697211155,0.24501992
10,1,H,5,2,18,rural,102,178,178,649,1.784,2.749,,4.635714286,0.317857143
11,1,H,6,1,21,rural,84,84,84,268,0.693,2.586,,3.19047619,0.25
12,1,H,6,2,22,rural,138,122,122,452,1.033,2.285,,3.476923077,0.234615385
13,1,C,1,1,3,urban,144,147,147,624,1.442,2.311,,4.288659794,0.25257732
14,1,C,1,2,4,urban,102,207,207,786,1.59,2.023,,5.087378641,0.334951456
15,1,C,2,1,7,urban,166,206,206,758,1.922,2.536,,4.075268817,0.27688172
16,1,C,2,2,8,urban,102,206,206,771,1.873,2.429,,5.006493506,0.334415584
17,1,C,3,1,11,urban,180,252,252,1073,2.647,2.467,,4.967592593,0.291666667
18,1,C,3,2,12,urban,108,152,152,657,1.554,2.365,,5.053846154,0.292307692
19,1,C,4,1,15,rural,144,96,96,368,0.911,2.476,,3.066666667,0.2
20,1,C,4,2,16,rural,102,68,68,238,0.434,1.824,,2.8,0.2
21,1,C,5,1,19,rural,96,134,134,499,1.211,2.427,,4.339130435,0.291304348
22,1,C,5,2,20,rural,186,252,252,957,2.312,2.416,,4.369863014,0.287671233
23,1,C,6,1,23,rural,162,68,68,228,0.592,2.596,,1.982608696,0.147826087
24,1,C,6,2,24,rural,198,195,195,964,2.136,2.216,,4.905852417,0.248091603
25,UM,UM,1,,1,,,178,,804,1.486,1.848,,,
26,UM,UM,2,,2,,,154,,689,1.369,1.987,,,
27,UM,UM,3,,3,,,141,,538,1.339,2.489,,,
28,UM,UM,4,,4,,,110,,621,1.16,1.868,,,
29,UM,UM,5,,5,,,159,,815,1.773,2.175,,,
30,UM,UM,6,,6,,,247,,880,1.554,1.766,,,
